fixture_id,home_id,home_name,away_id,away_name,score_home,score_away,timestamp,venue_id,venue,venue_city,league,league_id,league_country,winner_home,winner_away
974539,2769,Bangkok Glass,2773,Nakhon Ratchasima FC,5.0,2.0,1680953400,12708.0,BG Stadium,"Thanyaburi, Pathum Thani",Thai League 1,296,Thailand,True,False
974540,2791,Prachuap,2796,Nong Bua Pitchaya,5.0,1.0,1680955200,1835.0,Sam Ao Stadium,Prachuap Khiri Khan,Thai League 1,296,Thailand,True,False
974541,2786,Muangthong United,10086,Khon Kaen United,2.0,0.0,1680957000,12709.0,Thunder Dome Stadium,Nonthaburi,Thai League 1,296,Thailand,True,False
974544,2772,Chonburi FC,2771,Chiangrai United,1.0,3.0,1681036200,19097.0,Chonburi UTA Stadium,Chonburi,Thai League 1,296,Thailand,False,True
974543,2789,Port FC,2776,Ratchaburi,1.0,0.0,1681038000,1561.0,PAT Stadium,Bangkok,Thai League 1,296,Thailand,True,False
974542,6572,Lamphun Warrior,2770,Bangkok United,2.0,1.0,1681038000,8353.0,700th Anniversary Stadium,Chiang Mai,Thai League 1,296,Thailand,True,False
974545,2780,Buriram United,2801,Lampang FC,2.0,0.0,1681041600,1559.0,Chang Arena,Buriram,Thai League 1,296,Thailand,True,False
974549,2776,Ratchaburi,2791,Prachuap,1.0,1.0,1682161200,19788.0,Dragon Solar Park,Ratchaburi,Thai League 1,296,Thailand,,
974547,2783,Sukhothai FC,2769,Bangkok Glass,2.0,0.0,1682163000,1834.0,Thung Talay Luang Stadium,Sukhothai,Thai League 1,296,Thailand,True,False
974546,10086,Khon Kaen United,6572,Lamphun Warrior,1.0,0.0,1682164800,1712.0,Khon Kaen Stadium,Khon Kaen,Thai League 1,296,Thailand,True,False
974550,2771,Chiangrai United,2780,Buriram United,1.0,2.0,1682166600,12710.0,LEO Chiangrai Stadium,Chiang Rai,Thai League 1,296,Thailand,False,True
974553,2770,Bangkok United,2775,Police Tero,4.0,1.0,1682247600,1553.0,Thammasat Stadium,Pathum Thani,Thai League 1,296,Thailand,True,False
974551,2773,Nakhon Ratchasima FC,2789,Port FC,1.0,1.0,1682247600,1758.0,His Majesty the King's 80th Birthday Anniversary 5th December 2007 Stadium,Nakhon Ratchasima,Thai League 1,296,Thailand,,
974548,2801,Lampang FC,2772,Chonburi FC,1.0,3.0,1682249400,1859.0,Lampang Provincial Stadium,Lampang,Thai League 1,296,Thailand,False,True
974552,2786,Muangthong United,2796,Nong Bua Pitchaya,3.0,1.0,1682251200,12709.0,Thunder Dome Stadium,Nonthaburi,Thai League 1,296,Thailand,True,False
974554,2775,Police Tero,10086,Khon Kaen United,3.0,0.0,1682766000,1554.0,Boonyachinda Stadium,Bangkok,Thai League 1,296,Thailand,True,False
974556,6572,Lamphun Warrior,2801,Lampang FC,2.0,1.0,1682767800,8353.0,700th Anniversary Stadium,Chiang Mai,Thai League 1,296,Thailand,True,False
974555,2796,Nong Bua Pitchaya,2783,Sukhothai FC,1.0,1.0,1682769600,11517.0,Pitchaya Stadium,Nong Bua Lam Phu,Thai League 1,296,Thailand,,
974557,2772,Chonburi FC,2773,Nakhon Ratchasima FC,2.0,1.0,1682771400,19097.0,Chonburi UTA Stadium,Chonburi,Thai League 1,296,Thailand,True,False
974558,2780,Buriram United,2789,Port FC,2.0,3.0,1682850600,1559.0,Chang Arena,Buriram,Thai League 1,296,Thailand,False,True
974561,2786,Muangthong United,2771,Chiangrai United,1.0,2.0,1682852400,12709.0,Thunder Dome Stadium,Nonthaburi,Thai League 1,296,Thailand,False,True
974560,2769,Bangkok Glass,2776,Ratchaburi,4.0,2.0,1682854200,12708.0,BG Stadium,"Thanyaburi, Pathum Thani",Thai League 1,296,Thailand,True,False
974559,2791,Prachuap,2770,Bangkok United,2.0,1.0,1682856000,1835.0,Sam Ao Stadium,Prachuap Khiri Khan,Thai League 1,296,Thailand,True,False
974564,2770,Bangkok United,2786,Muangthong United,2.0,0.0,1683370800,1553.0,Thammasat Stadium,Pathum Thani,Thai League 1,296,Thailand,True,False
974563,2801,Lampang FC,2791,Prachuap,4.0,3.0,1683372600,1859.0,Lampang Provincial Stadium,Lampang,Thai League 1,296,Thailand,True,False
974565,10086,Khon Kaen United,2796,Nong Bua Pitchaya,2.0,1.0,1683374400,1712.0,Khon Kaen Stadium,Khon Kaen,Thai League 1,296,Thailand,True,False
974562,2771,Chiangrai United,2769,Bangkok Glass,2.0,1.0,1683376200,12710.0,LEO Chiangrai Stadium,Chiang Rai,Thai League 1,296,Thailand,True,False
974566,2783,Sukhothai FC,6572,Lamphun Warrior,1.0,2.0,1683455400,1834.0,Thung Talay Luang Stadium,Sukhothai,Thai League 1,296,Thailand,False,True
974568,2789,Port FC,2772,Chonburi FC,3.0,1.0,1683457200,1561.0,PAT Stadium,Bangkok,Thai League 1,296,Thailand,True,False
974567,2773,Nakhon Ratchasima FC,2775,Police Tero,1.0,3.0,1683459000,1758.0,His Majesty the King's 80th Birthday Anniversary 5th December 2007 Stadium,Nakhon Ratchasima,Thai League 1,296,Thailand,False,True
974569,2776,Ratchaburi,2780,Buriram United,1.0,1.0,1683460800,19788.0,Dragon Solar Park,Ratchaburi,Thai League 1,296,Thailand,,
974571,2769,Bangkok Glass,2772,Chonburi FC,1.0,0.0,1683889200,12708.0,BG Stadium,"Thanyaburi, Pathum Thani",Thai League 1,296,Thailand,True,False
974576,2775,Police Tero,2771,Chiangrai United,2.0,1.0,1683889200,1554.0,Boonyachinda Stadium,Bangkok,Thai League 1,296,Thailand,True,False
974577,2780,Buriram United,2773,Nakhon Ratchasima FC,4.0,0.0,1683889200,1559.0,Chang Arena,Buriram,Thai League 1,296,Thailand,True,False
974574,2786,Muangthong United,2776,Ratchaburi,4.0,0.0,1683889200,12709.0,Thunder Dome Stadium,Nonthaburi,Thai League 1,296,Thailand,True,False
974572,2791,Prachuap,2783,Sukhothai FC,2.0,0.0,1683889200,1835.0,Sam Ao Stadium,Prachuap Khiri Khan,Thai League 1,296,Thailand,True,False
974573,2796,Nong Bua Pitchaya,2801,Lampang FC,1.0,0.0,1683889200,11517.0,Pitchaya Stadium,Nong Bua Lam Phu,Thai League 1,296,Thailand,True,False
974570,6572,Lamphun Warrior,2789,Port FC,3.0,1.0,1683889200,8353.0,700th Anniversary Stadium,Chiang Mai,Thai League 1,296,Thailand,True,False
974575,10086,Khon Kaen United,2770,Bangkok United,1.0,1.0,1683889200,1712.0,Khon Kaen Stadium,Khon Kaen,Thai League 1,296,Thailand,,
